------------
曲线要素
------------
 切线长T：505.144	曲线长L：906.597
外矢距E0：135.463	切曲差q：103.692
------------------------------------------
主点       里程         X            Y
  79    14790.000   144608.125    99616.414
  80    14800.000   144613.344    99607.883
  81    14810.000   144618.656    99599.414
  82    14820.000   144624.109    99591.031
  83    14830.000   144629.656    99582.719
  84    14840.000   144635.344    99574.492
  85    14850.000   144641.156    99566.344
  86    14860.000   144647.078    99558.281
  87    14870.000   144653.109    99550.312
  88    14880.000   144659.250    99542.414
  89    14890.000   144665.500    99534.617
  90    14900.000   144671.875    99526.898
  91    14910.000   144678.344    99519.281
  92    14920.000   144684.922    99511.758
  93    14930.000   144691.625    99504.328
  94    14940.000   144698.422    99496.984
  95    14950.000   144705.312    99489.758
  96    14960.000   144712.328    99482.609
  97    14970.000   144719.422    99475.578
  98    14980.000   144726.625    99468.648
  99    14990.000   144733.938    99461.812
 100    15000.000   144741.328    99455.086
 101    15010.000   144748.828    99448.461
 102    15020.000   144756.406    99441.953
 103    15030.000   144764.094    99435.555
 104    15040.000   144771.875    99429.258
 105    15050.000   144779.734    99423.078
 106    15060.000   144787.672    99417.008
 107    15070.000   144795.719    99411.055
 108    15080.000   144803.812    99405.219
 109    15090.000   144812.031    99399.492
 110    15100.000   144820.312    99393.891
 111    15110.000   144828.672    99388.406
 112    15120.000   144837.109    99383.039
 113    15130.000   144845.625    99377.797
 114    15140.000   144854.219    99372.672
 115    15150.000   144862.875    99367.672
 116    15160.000   144871.594    99362.797
 117    15170.000   144880.391    99358.047
 118    15180.000   144889.266    99353.430
 119    15190.000   144898.203    99348.930
 120    15200.000   144907.203    99344.562
 121    15210.000   144916.266    99340.359
 122    15220.000   144925.453    99336.414
 123    15230.000   144934.656    99332.508
 124    15240.000   144943.875    99328.648
 125    15250.000   144953.109    99324.828
 126    15260.000   144962.391    99321.047
 127    15270.000   144971.656    99317.328
 128    15280.000   144980.953    99313.641
 129    15290.000   144990.266    99310.000
 130    15300.000   144999.594    99306.398
 131    15310.000   145008.938    99302.844
 132    15320.000   145018.281    99299.305
 133    15330.000   145027.641    99295.766
 134    15340.000   145037.000    99292.227
 135    15350.000   145046.344    99288.688
 136    15360.000   145055.703    99285.148
 137    15370.000   145065.047    99281.617
 138    15380.000   145074.406    99278.078
 139    15390.000   145083.766    99274.539
 140    15400.000   145093.109    99271.000
 141    15410.000   145102.469    99267.461
 142    15420.000   145111.812    99263.922
 143    15430.000   145121.172    99260.383
 144    15440.000   145130.531    99256.844
 145    15450.000   145139.875    99253.305
 146    15460.000   145149.234    99249.766
 147    15470.000   145158.578    99246.227
 148    15480.000   145167.938    99242.688
 149    15490.000   145177.297    99239.148
 150    15500.000   145186.641    99235.617
 151    15510.000   145196.000    99232.078
 152    15520.000   145205.344    99228.539
 153    15530.000   145214.703    99225.000
 154    15540.000   145224.062    99221.461
 155    15550.000   145233.406    99217.922
 156    15560.000   145242.766    99214.383
 157    15570.000   145252.109    99210.844
 158    15580.000   145261.469    99207.305
 159    15590.000   145270.828    99203.766
 160    15600.000   145280.172    99200.227
 161    15610.000   145289.531    99196.688
 162    15620.000   145298.875    99193.148
 163    15630.000   145308.234    99189.617
 164    15640.000   145317.594    99186.078
 165    15650.000   145326.938    99182.539
 166    15660.000   145336.297    99179.000
 167    15670.000   145345.641    99175.461
 168    15680.000   145355.000    99171.922
 169    15690.000   145364.344    99168.383
 170    15700.000   145373.703    99164.844
 171    15710.000   145383.062    99161.305
 172    15720.000   145392.406    99157.766
 173    15730.000   145401.766    99154.227
 174    15740.000   145411.109    99150.688
 175    15750.000   145420.469    99147.156
 176    15760.000   145429.828    99143.617
 177    15770.000   145439.172    99140.078
 178    15780.000   145448.531    99136.539
 179    15790.000   145457.875    99133.000
 180    15800.000   145467.234    99129.461
 181    15810.000   145476.594    99125.922
 182    15820.000   145485.938    99122.383
 183    15830.000   145495.297    99118.844
 184    15840.000   145504.641    99115.305
 185    15850.000   145514.000    99111.766
 186    15860.000   145523.359    99108.227
 187    15870.000   145532.703    99104.688
 188    15880.000   145542.062    99101.156
 189    15890.000   145551.406    99097.617
 190    15900.000   145560.766    99094.078
 191    15910.000   145570.125    99090.539
 192    15920.000   145579.469    99087.000
 193    15930.000   145588.828    99083.461
 194    15940.000   145598.172    99079.922
 195    15950.000   145607.531    99076.383
 196    15960.000   145616.891    99072.844
 197    15970.000   145626.234    99069.305
 198    15980.000   145635.594    99065.766
 199    15990.000   145644.938    99062.227
